Complex,Subunit Name,Subunit Stoichiometry,Subunit ID
keops_yeast,CGI121,1,YML036W
keops_yeast,BUD32,1,YGR262C
keops_yeast,KAE1,1,YKR038C
sec62-sec63_yeast,SEC66,1,YBR171W
sec62-sec63_yeast,SEC62,1,YPL094C
sec62-sec63_yeast,SEC63,1,YOR254C
sec62-sec63_yeast,SEC72,1,YLR292C
rnapoliii_specific_subunits,RPC11,1,YDR045C
rnapoliii_specific_subunits,RPC25,1,YKL144C
rnapoliii_specific_subunits,RPC31,1,YNL151C
rnapoliii_specific_subunits,RET1,1,YOR207C
rnapoliii_specific_subunits,RPC17,1,YJL011C
rnapoliii_specific_subunits,RPC37,1,YKR025W
rnapoliii_specific_subunits,RPC34,1,YNR003C
rnapoliii_specific_subunits,RPO31,1,YOR116C
rnapoliii_specific_subunits,RPC53,1,YDL150W
pan_yeast,PAN3,2,YKL025C
pan_yeast,PAN2,1,YGL094C
alg_yeast,ALG13,1,YGL047W
alg_yeast,ALG14,1,YBR070C
bbp-mud2_yeast,MUD2,1,YKL074C
bbp-mud2_yeast,MSL5,1,YLR116W
tfiia_yeast,TOA1,1,YOR194C
tfiia_yeast,TOA2,1,YKL058W
sea_yeast,NPR3,1,YHL023C
sea_yeast,IML1,1,YJR138W
sea_yeast,NPR2,1,YEL062W
eif3-core_yeast,NIP1,1,YMR309C
eif3-core_yeast,TIF35,1,YDR429C
eif3-core_yeast,TIF34,1,YMR146C
eif3-core_yeast,PRT1,1,YOR361C
eif3-core_yeast,RPG1,1,YBR079C
