Complex,Subunit Name,Subunit Stoichiometry,Subunit ID
gins_yeast,PSF2,1,YJL072C
gins_yeast,PSF1,1,YDR013W
ost_yeast,OST2,1,YOR103C
ost_yeast,OST4,1,YDL232W
ost_yeast,OST3,1,YOR085W
ost_yeast,OST6,1,YML019W
ost_yeast,OST1,1,YJL002C
ost_yeast,WBP1,1,YEL002C
ost_yeast,SWP1,1,YMR149W
ost_yeast,STT3,1,YGL022W
ost_yeast,OST5,1,YGL226C-A
clathrin_yeast,CHC1,3,YGL206C
clathrin_yeast,CLC1,3,YGR167W
tim8-tim13_yeast,TIM8,3,YJR135W-A
tim8-tim13_yeast,TIM13,3,YGR181W
arp2_3_yeast,ARC40,1,YBR234C
arp2_3_yeast,ARP2,1,YDL029W
arp2_3_yeast,ARC35,1,YNR035C
arp2_3_yeast,ARC15,1,YIL062C
arp2_3_yeast,ARC19,1,YKL013C
arp2_3_yeast,ARC18,1,YLR370C
arp2_3_yeast,ARP3,1,YJR065C
rfc_yeast,RFC3,1,YNL290W
rfc_yeast,RFC4,1,YOL094C
rfc_yeast,RFC5,1,YBR087W
rfc_yeast,RFC2,1,YJR068W
rad1_rad10,RAD10,1,YML095C
rad1_rad10,RAD1,1,YPL022W
Alpha-ketoglutarate dehydrogenase,KGD1,1,YIL125W
Alpha-ketoglutarate dehydrogenase,KGD2,2,YDR148C
dss1-suv3_yeast,DSS1,1,YMR287C
dss1-suv3_yeast,SUV3,1,YPL029W
Core Exosome,RRP40,1,YOL142W
Core Exosome,RRP42,1,YDL111C
Core Exosome,CSL4,1,YNL232W
Core Exosome,RRP46,1,YGR095C
Core Exosome,SKI6,1,YGR195W
Core Exosome,MTR3,1,YGR158C
Core Exosome,RRP4,1,YHR069C
Core Exosome,RRP45,1,YDR280W
Core Exosome,RRP43,1,YCR035C
cbf_yeast,HAP2,1,YGL237C
cbf_yeast,HAP3,1,YBL021C
swi_snf,SNF6,2,YHL025W
swi_snf,SNF11,2,YDR073W
swi_snf,SNF12,1,YNR023W
swi_snf,SWP82,2,YFL049W
swi_snf,SWI1,1,YPL016W
tfiid_yeast,TAF1,1,YGR274C
tfiid_yeast,TAF8,1,YML114C
tfiid_yeast,TAF11,1,YML015C
tfiid_yeast,TAF4,2,YMR005W
tfiid_yeast,TAF3,1,YPL011C
tfiid_yeast,TAF7,1,YMR227C
tfiid_yeast,TAF13,1,YML098W
tfiid_yeast,TAF2,1,YCR042C
agglutinin_yeast,AGA2,1,YGL032C
agglutinin_yeast,AGA1,1,YNR044W
Gamma-tubulin complex,SPC98,1,YNL126W
Gamma-tubulin complex,SPC97,1,YHR172W
Gamma-tubulin complex,TUB4,2,YLR212C
eif2b_yeast,GCD2,2,YGR083C
eif2b_yeast,GCD7,2,YLR291C
eif2b_yeast,GCD1,2,YOR260W
eif2b_yeast,GCN3,2,YKR026C
eif2b_yeast,GCD6,2,YDR211W
dash_yeast,SPC19,1,YDR201W
dash_yeast,DAD2,1,YKR083C
dash_yeast,DAD3,1,YBR233W-A
dash_yeast,DAD4,1,YDR320C-A
dash_yeast,HSK3,1,YKL138C-A
dash_yeast,DAM1,1,YGR113W
dash_yeast,DUO1,1,YGL061C
dash_yeast,SPC34,1,YKR037C
dash_yeast,DAD1,1,YDR016C
dash_yeast,ASK1,1,YKL052C
ER membrane protein complex,EMC2,1,YJR088C
ER membrane protein complex,EMC4,1,YGL231C
ER membrane protein complex,EMC1,1,YCL045C
ER membrane protein complex,EMC6,1,YLL014W
ER membrane protein complex,EMC3,1,YKL207W
ER membrane protein complex,EMC5,1,YIL027C
scc2-scc4_yeast,SCC4,1,YER147C
scc2-scc4_yeast,SCC2,1,YDR180W
9-1-1-clamp_yeast,MEC3,1,YLR288C
9-1-1-clamp_yeast,RAD17,1,YOR368W
9-1-1-clamp_yeast,DDC1,1,YPL194W
ubol_cytc_yeast,QCR8,1,YJL166W
ubol_cytc_yeast,QCR10,1,YHR001W-A
ubol_cytc_yeast,RIP1,1,YEL024W
ubol_cytc_yeast,QCR7,1,YDR529C
ubol_cytc_yeast,QCR9,1,YGR183C
ubol_cytc_yeast,QCR2,1,YPR191W
ubol_cytc_yeast,CYT1,1,YOR065W
ubol_cytc_yeast,COR1,1,YBL045C
ubol_cytc_yeast,QCR6,1,YFR033C
hda1_yeast-1,HDA3,1,YPR179C
hda1_yeast-1,HDA1,2,YNL021W
hda1_yeast-1,HDA2,1,YDR295C
ubp3-bre5_yeast,UBP3,2,YER151C
ubp3-bre5_yeast,BRE5,2,YNR051C
alphabeta_tubulin,TUB1,1,YML085C
alphabeta_tubulin,TUB3,1,YML124C
alphabeta_tubulin,TUB2,1,YFL037W
pdh_yeast,PDB1,24,YBR221C
pdh_yeast,PDA1,24,YER178W
pdh_yeast,PDX1,12,YGR193C
pdh_yeast,LAT1,60,YNL071W
caf1_yeast,RLF2,1,YPR018W
caf1_yeast,CAC2,1,YML102W
