gene.names,s.coeff.nominal,s.error,s.coeff.nacl,s.error.nacl
wt-cfp_160,-0.00766892198463488,0.00242141552781933,-0.00351211719472388,0.00270597588384645
wt-cfp_158,-0.00755578110235009,0.00243420897680965,-0.00278200858411751,0.00185370531350522
wt-cfp_181,-0.00584813929475819,0.00402993339041448,0.000834998698442665,0.00361422904824096
wt-cfp_172,-0.00580113090467351,0.00242637288065541,-0.00344248002237497,0.00267633486340098
wt-cfp_187,-0.00557115968009709,0.00340678836830277,-0.00524379942009165,0.00105894576735188
wt-cfp_159,-0.00556346365019131,0.00223269297010801,0.00234571939474182,0.00283469952419647
wt-rfp_87,-0.00524995490530901,0.00153914765522986,0.00658248545673769,0.003126843342178
wt-rfp_90,-0.00522007256768013,0.00101712893468226,-0.00105587405908421,0.00101871040730049
wt-cfp_123,-0.00510482324112921,0.00176606817969062,-0.00280447500768606,0.000955845280357056
wt-cfp_149,-0.00461910289216512,0.00239378904359059,-0.00253580088938979,0.00211695719441864
wt-cfp_190,-0.00399351131877181,0.00280037853687693,0.00116540489282609,0.00340069226286902
wt-cfp_184,-0.00395910101924175,0.00339824769581403,-0.00228508007232242,0.00269364029498638
wt-rfp_96,-0.00387856565543245,0.00164682284965558,0.00563041679948508,0.00376971738225126
wt-cfp_162,-0.00385175447531118,0.002176116259165,-0.00123417060962997,0.00240889273444881
wt-rfp_93,-0.00362291100275611,0.00238555192602475,0.004961700722977,0.00320168926265296
wt-rfp_64,-0.00339414924165133,0.00235055455086664,-0.00643745709134307,0.0040901678374602
wt-rfp_69,-0.00334506596768322,0.00244093065099258,-0.000155155335849148,0.00307460671927984
wt-cfp_104,-0.0033199517612829,0.00322457488037587,-0.00345323071724779,0.000572006384842043
wt-cfp_126,-0.00329390566465844,0.00326716080449571,-0.00388406675675189,0.00235497177261891
wt-cfp_106,-0.00304689869967079,0.0019994489712882,-0.00536112097088705,0.00268293632060415
wt-cfp_157,-0.00294846272568034,0.00273544071471469,-0.00020515653273322,0.00267930216871716
wt-rfp_72,-0.00293049885137608,0.00270748230020878,0.00144764480325771,0.0017161089003391
wt-cfp_182,-0.00285586214718046,0.00264565142653453,-0.00436205838593614,0.00196401659217234
wt-cfp_119,-0.0027703290610675,0.00259124459040171,-0.00337376377860862,0.00102072061797426
wt-cfp_183,-0.00269550556962759,0.00191331370149471,-0.00437174009856225,0.00219661538642041
wt-cfp_115,-0.00246350051155306,0.0020467922938031,0.00254924123372204,0.00289188758160912
wt-cfp_151,-0.00241157561327042,0.00179865761417431,-0.00312580417957325,0.00257061254557667
wt-cfp_134,-0.00216989507137235,0.00235746906441722,-0.00105240194898643,0.00252270820755576
wt-cfp_97,-0.00214072991484894,0.00238571499633941,-0.00305065707773438,0.00284474556961513
wt-cfp_177,-0.00212307981094189,0.00178873579474768,-0.000179947658218094,0.0019186091924813
wt-rfp_95,-0.00210029344916491,0.00218630003446781,-0.00254730135424938,0.00143390142080274
wt-cfp_146,-0.00205288415948048,0.00219761631988385,0.00138279511430653,0.00290662663939944
wt-rfp_60,-0.00202953678479702,0.00262994578337957,0.00287697743061932,0.00330123994017638
wt-cfp_173,-0.00191995903540377,0.00373560700747887,-0.00331335828013357,0.000462891683193454
wt-rfp_16,-0.00181645570413145,0.00195552679931465,0.00180719467817468,0.00227415630204467
wt-rfp_52,-0.00178747056878997,0.00135496677408028,0.00039106577593455,0.00228471047323003
wt-rfp_22,-0.00175811227621795,0.00263642033581726,-0.0250433519100164,0.00460087143672592
wt-rfp_94,-0.0015762261323861,0.00131492615420167,0.00231563721723361,0.0036349681600431
wt-cfp_127,-0.00157560395609488,0.00118710090029418,-0.000763303290338928,0.00126765252901689
wt-rfp_48,-0.00153942792393055,0.00319538386234954,0.00336858435964575,0.000956055956832181
wt-rfp_30,-0.00151196815087074,0.0022609726111366,-0.00161892118760563,0.00226450088829994
wt-rfp_84,-0.00147609363716609,0.00261969864220322,0.00165528880981923,0.00366356015447538
wt-rfp_85,-0.00145500759669933,0.00140714113564389,0.00104881131449845,0.0021775026984947
wt-rfp_81,-0.00145320961487769,0.00189634743321138,-0.000251263398941682,0.0026582121074034
wt-cfp_189,-0.00135575631231879,0.00206176036824813,-0.00532490336947481,0.00292482279697861
wt-rfp_44,-0.00129301356996092,0.0021813130567754,0.00555372073994352,0.00281014061354702
wt-cfp_163,-0.00126598137955657,0.00277847298413633,-0.00204308751394164,0.00198235177805169
wt-rfp_36,-0.00126147049282272,0.0021313439977183,0.000780950758074693,0.00287907243850095
wt-rfp_92,-0.00125091341635433,0.00130415771831679,0.00396084705035524,0.00172670609202313
wt-rfp_43,-0.0012431343119295,0.00273035886960831,0.000942946363023335,0.00279881386702604
wt-cfp_118,-0.00122445680941438,0.00241324511452467,-0.00398840190999152,0.00243101457983615
wt-cfp_129,-0.0011474933646273,0.00227288013433688,-0.00219318184012829,0.00240303009823296
wt-cfp_121,-0.00107740379079748,0.00154601421398675,-0.00344933830767021,0.00213661221798272
wt-cfp_180,-0.00107119005496468,0.00227587410256418,9.96308567579873e-05,0.00151279625789537
wt-cfp_191,-0.0010576257254218,0.00293747524412966,0.00269844639314651,0.00260020065856459
wt-rfp_86,-0.00103330136593665,0.000994206639669324,0.00111289347927745,0.00208156475109284
wt-cfp_110,-0.00100941318280118,0.00122349170306744,0.000909967356053134,0.00176670547661808
wt-cfp_107,-0.00100038295936225,0.00289634685405233,-0.00368221296229447,0.00277716529787808
wt-cfp_175,-0.000990592142023469,0.00271878248288326,-0.00168096760414495,0.00137984549862355
wt-rfp_24,-0.000956959565443929,0.00264204505489313,-0.00415620451301806,0.00173689202549593
wt-cfp_171,-0.000951037789802735,0.00211116558412029,-0.000406001762025612,0.00151666383993373
wt-cfp_109,-0.00094729281752005,0.00259835426129831,-0.000276001194538113,0.00289487627885098
wt-cfp_131,-0.000934103706203699,0.00216053765140164,0.00715569389784652,0.00265084389475433
wt-cfp_139,-0.000901065539951033,0.00197463864801259,-0.00140035970987901,0.00130979897636261
wt-rfp_13,-0.000875862954983138,0.00299623197222555,0.00452909662607433,0.0026134774290609
wt-rfp_62,-0.000828841643978211,0.001834640422003,-0.000175076296665464,0.000985962650463018
wt-cfp_99,-0.000791877126597223,0.0015639838967531,-0.00302904695344441,0.00331164994523093
wt-cfp_112,-0.000776850878944189,0.00250911317649435,0.00268497054586364,0.00127889980146414
wt-cfp_192,-0.000767302304824304,0.00366968283423656,-0.00296126387941476,0.00229331877181914
wt-rfp_80,-0.000745633283692,0.00285645664811126,-0.000423222651335049,0.00240649148772167
wt-cfp_188,-0.000713730885805612,0.0021299466063392,-0.00413181261712276,0.00304650487851658
wt-cfp_174,-0.00070705153712321,0.00290552059184267,1.55840021773303e-05,0.00169165605524816
wt-cfp_164,-0.000689554077593124,0.00157967213036734,0.00109133001449255,0.000867058007727656
wt-cfp_186,-0.000618441260571484,0.0019709088400947,0.000751538569014258,0.00243407615206199
wt-cfp_120,-0.00056141778357869,0.00123145450508241,0.00209701278501922,0.00343521720833185
wt-cfp_111,-0.000557653078512535,0.00212349818031934,-0.00117375610069241,0.00150032703483823
wt-cfp_132,-0.000535765251329033,0.0028023138442815,-0.00102242878634493,0.00362636847442391
wt-cfp_144,-0.000528751995927112,0.00159446158970387,-0.00418728668734545,0.00226973819620122
wt-rfp_67,-0.000511192152862458,0.00241289694211173,0.00256935815484311,0.00245664314806795
wt-cfp_170,-0.000468089907098188,0.00295401282869448,0.00317752473733614,0.00129577069958319
wt-cfp_117,-0.000460708113472737,0.00316052728777956,-0.000587708368129677,0.00152028469975948
wt-rfp_37,-0.00046026483836703,0.00211267684531737,-0.000640731375445149,0.00144084711168787
wt-cfp_169,-0.000385582466513787,0.00254566388195661,3.83019110007845e-05,0.00166513753337641
wt-cfp_116,-0.000326685508045541,0.0025569615816978,0.00298548184901792,0.00200343680343102
wt-cfp_124,-0.000321965921601268,0.00258258237886714,0.00164073367286318,0.00266291615113473
wt-cfp_161,-0.000181693291076896,0.000978891465379908,-0.000662041903143304,0.00192636401097109
wt-rfp_71,-0.000157881595265301,0.00149079217134818,0.00102945545202098,0.00230989393758633
wt-cfp_145,-0.000151788860820246,0.00127053457557268,-0.00164908695479308,0.00127028226497693
wt-cfp_98,-0.000140869686285817,0.00192743418148386,-0.00224759240079966,0.00235423924654247
wt-cfp_122,-0.000116807383622985,0.00156090397760779,-0.000868727707437062,0.00366542884294021
wt-rfp_9,-0.000111989341507597,0.00194810326102766,-0.00507714131919865,0.00231973206843275
wt-cfp_130,-9.34626003638202e-05,0.00296492429344533,-0.00340596588756668,0.00234492904905232
wt-rfp_6,-7.40584720330729e-05,0.00149576419899669,2.24990097842312e-06,0.00280038774443628
