Experiment Name,Plate Name,Record Date,$OP,GUID,Well Name,PLATE ID,All Events Parent Name,All Events #Events,All Events %Parent,All Events %Grand Parent,All Events %Total,All Events mCherry-A Mean,All Events mCherry-A Median,All Events mCherry-A SD,All Events CFP-A Mean,All Events CFP-A Median,All Events CFP-A SD,P3 Parent Name,P3 #Events,P3 %Parent,P3 %Grand Parent,P3 %Total,P3 mCherry-A Mean,P3 mCherry-A Median,P3 mCherry-A SD,P3 CFP-A Mean,P3 CFP-A Median,P3 CFP-A SD,P4 Parent Name,P4 #Events,P4 %Parent,P4 %Grand Parent,P4 %Total,P4 mCherry-A Mean,P4 mCherry-A Median,P4 mCherry-A SD,P4 CFP-A Mean,P4 CFP-A Median,P4 CFP-A SD
MoBY_references,PL6_complex_day04,"Mar 18, 2018 4:40:01 PM",Administrator ,8c5c53b7-8b01-4e3c-b442-8b54525856b2 ,E7,27fd9cd0-399d-4100-a12d-6e7817194ef4,,10000,,,,10740,7233,14306,6035,3498,7716,All Events,2948,29.5,,29.5,16,15,52,11787,8753,9612,All Events,6860,68.6,,68.6,15531,11581,14206,3563,2262,4244
MoBY_references,PL6_complex_day04,"Mar 18, 2018 4:40:09 PM",Administrator ,83e62852-415f-46ce-ba3f-4f90ec2077e0 ,E8,27fd9cd0-399d-4100-a12d-6e7817194ef4,,10000,,,,8140,4625,12493,7236,4673,8682,All Events,4178,41.8,,41.8,16,14,46,11632,8501,9307,All Events,5652,56.5,,56.5,14187,10880,12476,3891,2496,4279
MoBY_references,PL6_complex_day04,"Mar 18, 2018 4:40:16 PM",Administrator ,47c82152-dde2-4acf-8069-4009a2050212 ,E9,27fd9cd0-399d-4100-a12d-6e7817194ef4,,10000,,,,8321,5482,11361,6191,3796,7492,All Events,3558,35.6,,35.6,11,12,50,11150,8017,8955,All Events,6246,62.5,,62.5,13256,10064,11433,3375,2248,3708
MoBY_references,PL6_complex_day04,"Mar 18, 2018 4:40:24 PM",Administrator ,c2d2b3de-8666-4825-bce6-baaedab39853 ,E10,27fd9cd0-399d-4100-a12d-6e7817194ef4,,10000,,,,10114,7086,13006,6301,3654,8444,All Events,2672,26.7,,26.7,12,14,55,13080,9423,10293,All Events,7130,71.3,,71.3,14102,10554,12866,3714,2473,3938
MoBY_references,PL6_complex_day04,"Mar 18, 2018 4:40:32 PM",Administrator ,f3aaa4ab-8c62-4f7c-a852-389dce0b15ef ,E11,27fd9cd0-399d-4100-a12d-6e7817194ef4,,10000,,,,8795,5190,13175,6616,3896,8603,All Events,3810,38.1,,38.1,18,16,47,11850,8469,9893,All Events,5971,59.7,,59.7,14534,10907,13149,3260,2085,3823
MoBY_references,PL6_complex_day04,"Mar 18, 2018 4:40:39 PM",Administrator ,fee17c22-493c-46b9-b734-6afab6b4fd92 ,E12,27fd9cd0-399d-4100-a12d-6e7817194ef4,,10000,,,,9049,5776,12639,6308,3714,8125,All Events,3428,34.3,,34.3,14,14,55,11574,8379,9141,All Events,6311,63.1,,63.1,14226,10809,12923,3399,2171,3939
MoBY_references,PL6_complex_day04,"Mar 18, 2018 4:40:47 PM",Administrator ,f1f49e4c-70b8-4588-91dd-3ce531dd480d ,F1,27fd9cd0-399d-4100-a12d-6e7817194ef4,,10000,,,,8728,377,14870,7189,4638,8401,All Events,4817,48.2,,48.2,5,9,57,11494,8940,8728,All Events,4874,48.7,,48.7,17598,13335,15776,3063,1699,4342
MoBY_references,PL6_complex_day04,"Mar 18, 2018 4:40:54 PM",Administrator ,b268a131-cb58-4ff3-a3a3-02ecfd74f0c7 ,F2,27fd9cd0-399d-4100-a12d-6e7817194ef4,,10000,,,,12148,8641,15254,4955,2412,6806,All Events,2731,27.3,,27.3,1,8,70,10899,8430,8298,All Events,7036,70.4,,70.4,17221,13069,15539,2650,1570,3740
MoBY_references,PL6_complex_day04,"Mar 18, 2018 4:41:02 PM",Administrator ,951ede9d-4bd8-474b-948d-11196ca030aa ,F3,27fd9cd0-399d-4100-a12d-6e7817194ef4,,10000,,,,2703,28,8963,9953,7426,8628,All Events,8209,82.1,,82.1,22,18,40,11010,8361,8248,All Events,1532,15.3,,15.3,17271,13250,15126,4772,2998,5120
MoBY_references,PL6_complex_day04,"Mar 18, 2018 4:41:09 PM",Administrator ,fab9d852-6527-4253-8be9-8751291d6f4c ,F4,27fd9cd0-399d-4100-a12d-6e7817194ef4,,10000,,,,10482,7291,13565,5735,3263,7628,All Events,3110,31.1,,31.1,19,16,51,11270,8395,9031,All Events,6667,66.7,,66.7,15565,12275,13259,3130,1996,3725
